4    5    5    5    5    5    5    5    5    5    5    5    5    5    5    5    6
12   p1   0    0    0    0    0    0    0    0    0    0    0    0    0    0    10
12   p2   0    0    0    0    0    0    0    0    0    0    0    0    0    0    10
12   2    2    0    0    0    0    0    0    0    0    0    0    0    0    0    10
12   0    0    2    0    0    0    0    m    0    0    e    0    0    0    0    10
12   0    0    0    2    0    2    0    2    2    2    2    2    2    0    0    10
12   0    0    0    0    0    0    0    0    0    0    0    0    0    0    m    10
12   0    0    0    0    0    0    0    0    0    0    0    0    0    0    2    10
12   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    10
12   0    0    0    0    0    0    0    0    2    0    0    0    2    0    0    10
12   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    10
12   0    0    0    0    0    0    2    0    0    0    2    0    0    0    0    10
12   0    0    0    0    m    0    0    0    0    0    0    0    0    0    0    10
12   0    0    0    0    2    0    0    0    0    0    0    0    0    0    0    10
12   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    10
22   2    2    2    l    l    l    l    l    l    l    l    l    l    l    l    11
11   11   11   11   11   11   11   11   11   11   11   11   11   11   11   11   11
